100001-Deposit|1|17/09/2022 1:08:19 PM
100001-Deposit|123|17/09/2022 1:09:03 PM
100002-Deposit|1000|17/09/2022 1:09:15 PM
100001-Deposit|123|17/09/2022 1:09:20 PM
100001-Withdraw|123|17/09/2022 1:09:36 PM
100003-Withdraw|11|17/09/2022 1:09:43 PM
100001-Deposit|1999|17/09/2022 1:18:57 PM
100001-Withdraw|11|17/09/2022 1:19:09 PM
100001-Deposit|123|17/09/2022 1:35:41 PM
100002-Withdraw|11|17/09/2022 1:37:23 PM
100001-Deposit|111|17/09/2022 1:38:24 PM
100004-Deposit|56|17/09/2022 1:40:39 PM
100004-Withdraw|1|17/09/2022 1:41:28 PM
100004-Withdraw|2|17/09/2022 1:51:50 PM
100004-Withdraw|1|17/09/2022 1:52:47 PM
100004-Withdraw|1|17/09/2022 1:54:11 PM
100004-Withdraw|1|17/09/2022 2:09:36 PM
100004-Deposit|54|17/09/2022 2:10:38 PM
100004-Withdraw|1|17/09/2022 2:11:10 PM
100003-Deposit|1|17/09/2022 2:13:09 PM
100001-Deposit|123|17/09/2022 2:16:36 PM
100001-Withdraw|1000|17/09/2022 2:17:57 PM
100001-Deposit|2304|17/09/2022 2:42:32 PM
100005-Deposit|981|17/09/2022 3:00:55 PM
100004-Deposit|54|17/09/2022 3:01:10 PM
100001-Deposit|12|17/09/2022 3:49:49 PM
100007-Deposit|10000000000|17/09/2022 4:10:56 PM
100007-Withdraw|1|17/09/2022 4:13:10 PM
